Feature,Importance
Votes,0.5701711636527703
Cuisines,0.13215281338464782
Average Cost for two,0.09964753538982475
City,0.08424681703826628
Currency,0.03814821315530306
cuisine_count,0.026548571005995444
Price range,0.02330601952263125
Has Online delivery,0.017543651483794713
Has Table booking,0.008235215366766408
