Feature,Importance
Votes,0.954179352923332
Cuisines,0.013921495475659003
Average Cost for two,0.01039062197772187
City,0.009165111314332548
cuisine_count,0.003329437386889007
Currency,0.0029266056527141515
Price range,0.0029031669716073744
Has Online delivery,0.002248573964256914
Has Table booking,0.0009356343334870857
